EUZIMAR PEREIRA DE ASSIS;40500;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
EVA PEREIRA;19160;PTN;FRENTE ALTERNATIVA FATO NOVO;0;
EVALCY PEREIRA DA SILVA;15258;PMDB;-;0;
EVERALDO PEREIRA DA SILVA;36789;PTC;FRENTE ALTERNATIVA FATO NOVO;0;
FÁBIO MARTINS SANTANA;12120;PDT;FRENTE ALTERNATIVA FATO NOVO;0;
FABION GOMES DE SOUSA;22111;PL;UNIÃO PELO TOCANTINS;0;
FARIS JOSE AMORIM DE ARAUJO;27777;PSDC;-;0;
FATIMA ELISABETH DA SILVA ORTIZ;26662;PAN;FRENTE ALTERNATIVA FATO NOVO;0;
FELIPE NAUAR CHAVES;15015;PMDB;-;0;
FELIPE RAMALHO DE OLIVEIRA NETO;20123;PSC;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
FELISMAR FOLHA SOUZA;19122;PTN;FRENTE ALTERNATIVA FATO NOVO;0;
FÉLIX MOREIRA LIMA;13654;PT;MUDANÇA PRA VALER;0;
FÉLIX VALUAR DE SOUSA BARROS;25678;PFL;-;0;
FOSTER DULLES RIBEIRO;15411;PMDB;-;0;
FRANCISCO ALVES DA COSTA;40556;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
FRANCISCO BANDEIRA CLÁUDIO;36111;PTC;FRENTE ALTERNATIVA FATO NOVO;0;
FRANCISCO DAS CHAGAS COSTA FILHO;43333;PV;UNIÃO E TRABALHO;0;
FRANCISCO DAS CHAGAS SOARES RODRIGUES;25200;PFL;-;0;
FRANCISCO DE ASSIS ALVES DE SOUZA;56789;PRONA;FRENTE ALTERNATIVA FATO NOVO;0;
FRANCISCO DE ASSIS MARTINS ROCHA;15151;PMDB;-;0;
FRANCISCO MENDES BRAGA;17123;PSL;FATO;0;
FRANCISCO PEREIRA DIAS;28516;PRTB;FATO;0;
GELMIRES LIMA FRANÇA;12225;PDT;FRENTE ALTERNATIVA FATO NOVO;0;
